Number of Records Retrieved: 10180,,,,,,,,,,,,,,,,,,,,,
STOCKING_EVENT_RECORD_NUM,RECORD_STATUS,STOCKING_YEAR,DESTINATION_WATERBODY_LID,DESTINATION_WATERBODY_NAME,INVENTORY_COMMENTS,STOCKING_COMMENTS,MARKING_COMMENTS,,,,,,,,,,,,,,
46893,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 36.201 lon 80 18.806 Boat stocked, went well, 200 birds, 30 morts",,,,,,,,,,,,,,,
47099,APPROVED,2021,17-7415-48483,"Ontario, L.",,Fish were stocked as part on an enrichment trial,Tag #'s on file,,,,,,,,,,,,,,
47102,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish were stocked at 7TH LINE,
Part of enrichment trial",Tags on file,,,,,,,,,,,,,,
47106,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish stocked at 44.029058- 78.542992
Fish part of enrichment trial",tag #'s on file,,,,,,,,,,,,,,
47131,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish stocked at 44.037489, -78.508378
Fish part of enrichment study",tag #'s on file,,,,,,,,,,,,,,
47134,APPROVED,2021,17-7415-48483,"Ontario, L.",,"fish were stocked on County Rd 65 44.021340, -78.451581
Fish are part of enrichment study",Tag #'s on file,,,,,,,,,,,,,,
46894,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 33.465 lon 80 13.503 Boat stocked, went well, 100 birds, 30 morts",,,,,,,,,,,,,,,
46895,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 38.630 lon 80 22.134 Boat stocked, went well, 60 birds, 15 morts",,,,,,,,,,,,,,,
46896,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 37.253 lon 80 21.576 Boat stocked, went well, 100 birds, 15 morts",,,,,,,,,,,,,,,
46897,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 31.895 lon 80 10.578 Boat stocked, went well, 150 birds,20 morts",,,,,,,,,,,,,,,
46898,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 35.198 lon 80 16.553 Boat stocked, went well, 100 Birds, 30 morts",,,,,,,,,,,,,,,
46899,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 31.468 lon 80 09.967 Boat stocked (issue with oxygen line on Tank#1). 1200 Birds, 300 morts",,,,,,,,,,,,,,,
46900,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 36.556 lon 80 19.097 Boat stocked, went well, 300 Birds, 150 morts",,,,,,,,,,,,,,,
46901,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 33.858 lon 80 13.862 Boat stocked, went well, 150 Birds, 10morts",,,,,,,,,,,,,,,
46902,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 33 .061 lon 80 112.532 Boat stocked, went well. 100 Birds, 10 morts",,,,,,,,,,,,,,,
45889,APPROVED,2021,17-4006-49280,"Huron, L.",,46.00.597  81.57.805,,,,,,,,,,,,,,,
45891,APPROVED,2021,17-4006-49280,"Huron, L.",,46.00.597  81.57.805,,,,,,,,,,,,,,,
45892,APPROVED,2021,17-4006-49280,"Huron, L.",,46.00.597  81.57.805,,,,,,,,,,,,,,,
46249,APPROVED,2021,17-3383-51721,Virginia L.,,"beaver dam let go, lake has dropped several feet, discontinue further stocking",,,,,,,,,,,,,,,
46916,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 20.139 lon 80 24.484 Barge stocked,,,,,,,,,,,,,,,
46918,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 20.278 lon 80 23.417  Barge stoced,,,,,,,,,,,,,,,
46919,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 20.238 lon 80 23.253  Barge stocked,,,,,,,,,,,,,,,
46920,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 19.613 lon 80 23.256  Barge stocked,,,,,,,,,,,,,,,
46933,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 20.139  lon 80 24.484,,,,,,,,,,,,,,,
46934,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 20.10   lon 80 23.994,,,,,,,,,,,,,,,
46935,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 20.278  lon 80 23.417,,,,,,,,,,,,,,,
46936,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 19.613  long 80 23.256,,,,,,,,,,,,,,,
46937,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45 19.074  long 80 22.734,,,,,,,,,,,,,,,
47256,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
47257,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
47258,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
46690,APPROVED,2021,17-7415-48483,"Ontario, L.",Delivered to net pen April 13 2021 (3.07g); released May 15 2021 (9.36g) - held for 33 days. A total of 1 pen(s) at this location.,'Transit Mortality' is actually the number of mortalities counted during pen rearing (0) plus fish taken for sampling (0),,,,,,,,,,,,,,,
46691,APPROVED,2021,17-7415-48483,"Ontario, L.",Delivered to net pen April 13 2021 (3.07g); released May 15 2021 (8.69g) - held for 33 days. A total of 1 pen(s) at this location.,'Transit Mortality' is actually the number of mortalities counted during pen rearing (0) plus fish taken for sampling (0),,,,,,,,,,,,,,,
46692,APPROVED,2021,17-7415-48483,"Ontario, L.",Delivered to net pen April 14 2021 (3.21g); released May 13 2021 (8.12g) - held for 30 days. A total of 4 pen(s) at this location.,'Transit Mortality' is actually the number of mortalities counted during pen rearing (0) plus fish taken for sampling (0),,,,,,,,,,,,,,,
46694,APPROVED,2021,17-7415-48483,"Ontario, L.",Delivered to net pen April 06 2021 (3.07g); released May 08 2021 (6.88g) - held for 33 days. A total of 2 pen(s) at this location.,'Transit Mortality' is actually the number of mortalities counted during pen rearing (18) plus fish taken for sampling (0),,,,,,,,,,,,,,,
46695,APPROVED,2021,17-7415-48483,"Ontario, L.",Delivered to net pen April 12 2021 (3.33g); released May 15 2021 (8.6g) - held for 34 days. A total of 2 pen(s) at this location.,'Transit Mortality' is actually the number of mortalities counted during pen rearing (1) plus fish taken for sampling (0),,,,,,,,,,,,,,,
45877,APPROVED,2021,17-4006-49280,"Huron, L.",Gametes from Chatsworth FCS,,,,,,,,,,,,,,,,
45878,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
45879,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
46295,APPROVED,2021,17-3608-51584,Bruce L.,,Bruce L was supposed to get 500 yearlings but only got half due to being short fish... this was the last lake of the day to be stocked,,,,,,,,,,,,,,,
47320,SUBMITTED,2021,17-6265-49383,Mill Cr.,,,Not VIE tagged like previous years,,,,,,,,,,,,,,
47321,SUBMITTED,2021,18-3789-50097,Darling Long L.,,Due to low waters fish were bagged and released at the shore (unable to get boat into the lake),,,,,,,,,,,,,,,
46749,APPROVED,2021,18-3923-49818,Clyde R.,,"2 locations, HWY 511 and Bows Lake Rd (approx. 750 each)",,,,,,,,,,,,,,,
46845,APPROVED,2021,17-7415-48483,"Ontario, L.",,Fish were part of an Enrichment experiment,Tag #'s on file,,,,,,,,,,,,,,
46846,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish were stocked at Barrie Rd 44.005860, -78.334659",Tag #'s on file,,,,,,,,,,,,,,
46847,APPROVED,2021,17-7415-48483,"Ontario, L.",,Ganny Trib stocking Enrichment study,Tag #'s on file,,,,,,,,,,,,,,
46716,APPROVED,2021,18-3075-50741,Wormy L.,,stocked from Sand L. Fish were supposed to be for Algonquin (Marie Lk) but switched due to bad weather,,,,,,,,,,,,,,,
46754,APPROVED,2021,18-3549-49895,Summit L.,,"Temperature read in shallow water, likely cooler off shore",,,,,,,,,,,,,,,
46755,APPROVED,2021,17-6005-48267,"Aquitaine, L.",B line of Brood stock (surplus),,,,,,,,,,,,,,,,
46758,APPROVED,2021,17-6144-48227,Credit R.,,water was pretty shallow,,,,,,,,,,,,,,,
45418,APPROVED,2020,17-4351-52720,Susanne L.,,Changed to 2000,,,,,,,,,,,,,,,
45880,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
45881,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
45884,APPROVED,2021,17-4006-49280,"Huron, L.",Sydenham River egg collection,,,,,,,,,,,,,,,,
46848,APPROVED,2021,17-7415-48483,"Ontario, L.",,Ganny Trib Enrichment study,Tag #'s on file,,,,,,,,,,,,,,
45885,APPROVED,2021,17-4006-49280,"Huron, L.",,45.53.979  82.06.961,,,,,,,,,,,,,,,
47290,APPROVED,2021,17-7415-48483,"Ontario, L.",,50k egg allocation; 30% mortality rate applied (MNRF established value).   est. 35k stocked,,,,,,,,,,,,,,,
47294,APPROVED,2021,17-6144-48227,Credit R.,,actual coordinates = 43.794148 -80.017252 (Goyech Property - 500m from Shaw's Cr site),,,,,,,,,,,,,,,
45629,APPROVED,2021,17-7415-48483,"Ontario, L.",surplus brood (95% males),fish were floy tagged at stocking site,,,,,,,,,,,,,,,
41196,APPROVED,2018,17-7415-48483,"Ontario, L.","Stage changed to fingerling (these fish are fall fingerlings, not yearlings)",,,,,,,,,,,,,,,,
41201,APPROVED,2018,17-7415-48483,"Ontario, L.","Stage changed to fingerling (these fish are fall fingerlings, not yearlings)",,,,,,,,,,,,,,,,
41205,APPROVED,2018,17-7415-48483,"Ontario, L.","Stage changed to fingerling (these fish are fall fingerlings, not yearlings)",,,,,,,,,,,,,,,,
45765,APPROVED,2021,18-2987-49870,Aide L.,Fish normally from White Lake,,,,,,,,,,,,,,,,
46615,APPROVED,2021,17-7415-48483,"Ontario, L.",,actual coordinates = 44.066117 -76.731217,,,,,,,,,,,,,,,
46616,APPROVED,2021,17-7415-48483,"Ontario, L.",,actual coordinates = 44.066117 -76.731217,,,,,,,,,,,,,,,
45766,APPROVED,2021,18-2820-49839,Cedar L.,Fish normally from White Lake,,,,,,,,,,,,,,,,
46627,APPROVED,2021,17-4512-51212,Elizabeth L.,,From Sandfield Walleye Building,,,,,,,,,,,,,,,
46632,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45.9219 lon 82.4597,,,,,,,,,,,,,,,
46633,APPROVED,2021,17-4006-49280,"Huron, L.",,4lat 5.9219 lon 82.4597,,,,,,,,,,,,,,,
46635,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45.9219 lon 82.4597,,,,,,,,,,,,,,,
46636,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45.9219 lon 82.4597,,,,,,,,,,,,,,,
46637,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45.9219 lon 82.4597,,,,,,,,,,,,,,,
46638,APPROVED,2021,17-4006-49280,"Huron, L.",,lat 45.9219 lon 82.4597,,,,,,,,,,,,,,,
2648,APPROVED,2002,17-5196-53018,Yarrow L. 15,H5660,Yarrow #15 L.,,,,,,,,,,,,,,,
2649,APPROVED,2002,17-5125-53027,Elmer L.,H5661,,,,,,,,,,,,,,,,
452,APPROVED,2003,17-7415-48483,"Ontario, L.","H9341
source waterbody = Credit River",,,,,,,,,,,,,,,,
453,APPROVED,2003,17-7415-48483,"Ontario, L.","H9349
source waterbody = Credit River",,,,,,,,,,,,,,,,
454,APPROVED,2003,17-7415-48483,"Ontario, L.","H9350
source waterbody = Credit River",,,,,,,,,,,,,,,,
1289,APPROVED,2003,17-4006-49280,"Huron, L.",#NAME?,"-time of stocking event corrected from 12:00 from John Brookham's records
-transit mortality corrected from 0 from John Brookham's records, shared with record 1286
boat site lat 45 35.731 long 81 25.467

-transit mortality corrected from 0 from John Brookham's records",,,,,,,,,,,,,,,
2188,APPROVED,2003,18-3735-49648,Silver L.,,MTO Park,,,,,,,,,,,,,,,
