glfsd_stock_id,agency_stock_id,agency_code,_lake,state_prov,manUnit,grid_10min,location_primary,location_secondary,latitude,longitude,year,month,day,stock_method,species_code,_strain,yearclass,life_stage,age_months,_clip,clip_efficiency,phys_chem_mark,tag_type,cwt_number,tag_retention,mean_length_mm,total_weight_kg,stocking_mortality,lot_code,hatchery_abbrev,number_stocked,notes
20180866,,MIDNR,MI,MI,MM2,211,,"Manistique River, City Of Manistique Pas",,,2017,5,24,u,BNT,WR,2016,y,,,,,,,,158,582,99,P-BNT-WR-D-15-OD-HA,,11000,State Plant
20180867,,MIDNR,MI,MI,MM1,505,,"Lake Michigan, Green Bay-Hallsteads Resort (Kobasic'S)",,,2017,5,25,u,BNT,SR,2016,y,,,,,,,,126,397,99,P-BNT-SR-D-15-OD-HA,,14900,State Plant
20180868,,MIDNR,MI,MI,MM1,505,,"Lake Michigan, Green Bay-Hallsteads Resort (Kobasic'S)",,,2017,5,25,u,BNT,SR,2016,y,,,,,,,,126,397,99,P-BNT-SR-D-15-OD-HA,,14900,State Plant
20180901,,MIDNR,SC,MI,SC_MI,305,,"Black River, Pas",,,2017,4,10,u,BNT,SR,2016,y,,,,,,,,115,523,99,P-BNT-SR-D-15-OD-HA,,26080,State Plant
20180902,,MIDNR,SC,MI,SC_MI,305,,"Black River, Pas",,,2017,4,10,u,BNT,GIL,2016,y,,,,,,,,118,530,99,P-BNT-GC-D-15-OD-HA,,26080,State Plant
20180903,,MIDNR,SC,MI,SC_MI,305,,"St. Clair River, Algonac",,,2017,4,11,u,BNT,SR,2016,y,,,,,,,,114,513,99,P-BNT-SR-D-15-OD-HA,,26080,State Plant
20180906,,MIDNR,SC,MI,SC_MI,305,,"St. Clair River, Algonac",,,2017,4,11,u,BNT,GIL,2016,y,,,,,,,,114,513,99,P-BNT-GC-D-15-OD-HA,,26080,State Plant
20180990,,PRIV,ON,ON,OO1,603,,Norval,43.64683,-79.85636,2017,11,26,t,BNT,GAN,2016,y,12,,,,,,,,30,6,,,1100,
20181002,,PRIV,ON,ON,OO4,220,,Millhaven Wharf,44.19298,-76.74057,2017,6,3,t,BNT,GAN,2017,sf,6,,,,,,,,50,6,,,25000,
20181003,,PRIV,ON,ON,OO4,220,,Finkle'S Shore Ramp,44.17158,-76.78918,2017,6,3,t,BNT,GAN,2017,sf,6,,,,,,,,50,6,,,25000,
20181067,,PRIV,ON,ON,OO2,507,,Whitby Harbour,43.85063,-78.92798,2017,10,4,t,BNT,GAN,2016,y,10,,,,,,,,350,6,,,17500,FSIS # 39248
20181104,,OMNR,ON,ON,OO1,805,,Port Dalhousie East,43.20661,-79.2634,2017,3,15,t,BNT,GAN,2016,y,15,,,,,,,,750,6,,,18324,FSIS # 38095
20181105,,OMNR,ON,ON,OO1,805,,Port Dalhousie East,43.20661,-79.2634,2017,3,14,t,BNT,GAN,2016,y,15,,,,,,,,750,6,,,18324,FSIS # 38094
20181110,,OMNR,ON,ON,OO1,702,,Bronte Harbour,43.393846,-79.706127,2017,3,21,t,BNT,GAN,2016,y,15,,,,,,,,845,6,,,18604,FSIS # 38098
